                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.5037,                 1.1576,                 1.3336,                0.39085,                0.37117,                 0.3126,                0.11567,                 2.2116,                 1.8188,                 1.8688,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.5002,                 1.1331,                 1.3288,                0.40559,                0.36359,                0.29727,                0.11009,                 2.2387,                 1.8621,                 1.8977,             0.00046226,             0.00046226,             0.00046226
                     76,                  1.487,                 1.1291,                 1.3224,                0.38717,                0.35727,                0.28833,                0.10726,                 2.2537,                 1.9043,                 1.8902,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.4923,                 1.1467,                 1.3355,                   0.45,                0.32315,                0.30118,                0.11039,                 2.2184,                 1.8408,                 1.8925,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.4883,                 1.1363,                 1.3281,                 0.4227,                0.34335,                0.29765,                0.11202,                 2.1901,                 1.8656,                 1.8675,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.4891,                 1.1341,                 1.3304,                0.37214,                0.37774,                0.29153,                0.10558,                  2.275,                 1.9064,                 1.9286,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.4751,                  1.097,                  1.317,                0.37272,                0.36961,                0.29033,                0.10744,                 2.2344,                 1.8973,                 1.9144,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.4818,                 1.1256,                 1.3258,                0.39379,                0.34746,                0.29368,                0.10903,                 2.2156,                   1.91,                  1.887,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.4702,                 1.1119,                 1.3173,                0.37748,                0.38022,                0.29647,                 0.1099,                 2.2447,                 1.8663,                 1.9116,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.4631,                 1.0971,                 1.3085,                 0.4374,                0.31603,                0.29034,                0.10825,                 2.2377,                 1.8853,                 1.9216,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.4691,                  1.101,                  1.315,                0.42929,                0.32889,                0.30152,                0.11456,                 2.2418,                 1.8667,                 1.9194,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.4531,                 1.0935,                 1.3008,                0.36348,                0.38032,                0.29179,                0.11367,                 2.2221,                 1.8586,                 1.9105,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.4529,                 1.0836,                 1.3073,                0.40024,                0.35869,                 0.3006,                0.11345,                 2.2206,                 1.8615,                 1.9078,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.4713,                 1.0834,                 1.3082,                0.37524,                0.35736,                0.29411,                0.11059,                 2.2327,                 1.8989,                 1.8925,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.4552,                  1.079,                 1.3039,                0.44616,                0.33934,                0.30858,                0.11753,                 2.2122,                 1.8737,                 1.8947,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.4377,                 1.0713,                 1.2931,                 0.4161,                0.33697,                0.30948,                0.11597,                 2.2341,                  1.865,                 1.9063,             0.00023121,             0.00023121,             0.00023121
